Account_Age_Months,Total_Purchases,Average_Order_Value,Days_Since_Last_Login,Support_Tickets_Opened,Is_Subscribed_To_Newsletter,Discount_Usage_Ratio,Churn
49.5,29,37.54,25.0,0,0,0.253,0
38.3,10,39.57,18.6,1,0,0.489,1
22.6,7,21.43,7.9,1,0,0.372,0
13.5,13,18.89,0.9,0,0,0.325,0
37.7,18,5.94,0.6,0,0,0.295,0
32.4,17,28.23,14.5,1,0,0.158,0
47.4,7,90.67,25.8,3,1,0.561,0
24.7,14,17.76,13.9,1,1,0.372,0
58.6,23,11.41,33.1,2,1,0.455,0
24.7,10,44.92,0.6,1,1,0.443,0
13.4,7,51.11,8.2,0,0,0.695,0
15.3,15,21.97,4.9,0,1,0.379,0
30.3,13,25.94,10.7,1,0,0.235,0
14.3,14,39.83,1.4,0,1,0.398,0
58.3,13,29.7,55.5,1,0,0.081,0
28.7,24,66.69,4.5,1,0,0.348,0
22.2,22,182.38,46.0,0,1,0.5,1
23.5,12,10.01,10.0,1,1,0.232,0
18.1,13,78.32,76.2,1,1,0.658,1
5.2,9,35.65,14.5,1,1,0.166,1
15.3,12,87.51,48.1,2,0,0.48,1
54.1,11,54.98,0.1,1,0,0.317,0
25.1,16,34.56,24.8,1,0,0.751,1
41.0,17,56.37,42.0,1,1,0.375,0
41.7,20,25.13,2.7,2,1,0.191,0
21.1,12,19.26,1.8,2,0,0.596,0
32.8,8,58.42,9.9,0,1,0.472,0
5.8,23,18.34,48.8,3,1,0.572,1
51.5,7,51.92,14.1,0,0,0.528,0
49.0,12,33.84,13.5,1,1,0.28,0
29.8,17,6.48,2.7,0,1,0.215,0
25.7,9,22.15,0.0,0,1,0.342,0
21.3,12,41.86,29.9,1,0,0.158,1
43.9,15,24.92,1.6,0,0,0.571,0
35.1,10,5.57,18.1,1,0,0.748,0
16.8,13,83.47,44.3,0,0,0.534,1
9.0,17,37.28,4.2,0,1,0.426,0
7.7,17,45.18,19.7,1,0,0.45,0
43.6,18,23.78,1.5,0,1,0.429,0
21.0,11,48.04,16.7,2,0,0.421,0
29.5,14,119.63,3.2,1,0,0.18,0
22.8,17,19.8,24.0,1,0,0.301,1
7.7,28,106.37,6.5,0,1,0.361,0
5.9,13,43.77,11.2,1,1,0.106,1
16.0,15,18.02,16.5,2,0,0.438,1
16.9,19,155.82,3.4,1,1,0.12,0
16.9,25,43.56,24.4,0,0,0.548,1
17.3,16,53.17,6.5,2,0,0.327,0
68.9,16,27.42,19.5,4,0,0.694,0
40.6,15,18.96,3.1,2,0,0.65,0
25.4,11,37.24,21.0,0,1,0.368,0
20.6,12,100.19,2.5,4,0,0.216,0
21.1,10,26.66,10.0,0,0,0.309,0
34.3,14,32.5,5.1,0,0,0.294,0
20.5,18,91.78,24.8,0,1,0.541,0
38.1,14,26.84,5.5,3,0,0.454,0
27.2,17,47.33,38.4,0,1,0.743,0
69.2,10,61.2,40.0,0,0,0.405,0
19.7,9,28.85,3.9,0,0,0.046,0
42.4,13,41.14,17.1,1,1,0.713,0
9.7,10,52.6,1.7,0,0,0.576,0
13.7,12,25.01,8.9,1,1,0.522,0
63.8,17,58.62,22.5,1,0,0.532,0
37.2,13,22.58,19.4,1,1,0.325,0
29.8,14,20.64,17.6,1,0,0.522,0
79.8,10,11.37,6.0,2,1,0.27,0
20.8,9,23.28,8.5,2,0,0.034,0
42.4,11,18.71,2.0,0,0,0.338,0
44.3,21,25.01,22.9,1,0,0.288,0
55.7,21,50.83,12.6,0,0,0.38,0
8.8,19,9.89,22.2,1,0,0.438,0
20.7,12,8.31,5.2,0,0,0.272,0
26.9,19,19.6,7.1,2,1,0.334,0
55.2,23,45.73,7.3,2,1,0.235,0
29.1,17,40.54,0.5,1,1,0.445,0
44.3,11,19.38,7.5,3,1,0.517,0
8.2,19,75.08,29.3,2,0,0.53,1
17.6,16,20.89,41.0,2,0,0.21,1
48.9,21,45.77,13.1,2,0,0.144,0
19.2,15,25.69,10.9,1,1,0.296,0
21.9,19,18.03,0.6,2,0,0.381,0
54.6,12,21.68,38.0,1,0,0.405,1
11.4,11,55.36,0.2,1,1,0.29,0
13.6,15,42.64,52.1,1,0,0.187,1
7.4,8,65.21,12.1,0,1,0.4,0
55.9,17,42.64,7.5,0,1,0.348,0
40.2,9,10.72,46.4,0,0,0.503,1
39.6,12,145.49,0.4,2,0,0.835,0
17.2,11,43.06,15.7,3,0,0.207,0
7.0,9,47.48,14.3,1,1,0.277,1
5.4,17,25.44,4.5,2,0,0.517,0
49.1,8,72.18,10.1,1,1,0.312,0
31.1,17,15.41,19.0,2,1,0.207,0
34.9,9,50.75,23.4,1,0,0.218,0
26.1,17,7.72,0.0,3,0,0.165,0
12.4,19,53.2,49.7,0,1,0.388,1
17.8,10,15.55,3.2,0,0,0.42,0
10.1,10,40.2,4.8,0,1,0.492,1
9.1,13,85.64,5.5,1,0,0.431,0
38.2,23,58.9,0.7,2,1,0.635,0
5.8,20,78.03,2.4,0,1,0.199,0
10.2,13,72.57,77.3,0,1,0.265,1
18.5,13,22.94,6.8,1,0,0.346,0
23.3,11,50.34,2.2,0,0,0.411,0
7.4,13,9.9,2.0,2,1,0.744,0
28.8,14,20.47,22.9,1,0,0.368,0
25.1,9,87.78,34.7,2,0,0.57,1
48.6,8,25.29,5.3,1,1,0.32,0
23.5,17,8.96,0.4,0,0,0.385,0
30.7,25,135.58,4.5,1,0,0.416,0
12.9,16,49.09,1.0,1,0,0.657,1
13.3,20,56.55,2.0,1,1,0.525,0
8.0,13,16.67,10.2,1,1,0.332,0
13.0,9,40.4,4.7,0,0,0.458,1
17.6,14,39.66,13.1,3,0,0.393,0
45.7,16,18.63,5.3,0,0,0.281,0
11.6,9,29.4,50.8,2,1,0.272,1
71.1,14,11.58,42.5,1,0,0.317,0
32.4,34,25.98,15.1,5,1,0.392,1
28.3,19,65.48,7.9,1,0,0.409,0
22.3,13,19.63,8.6,1,1,0.141,0
19.6,16,125.85,9.6,1,0,0.576,1
14.5,11,12.12,23.4,2,1,0.463,1
7.1,12,27.6,10.8,1,0,0.241,0
11.9,18,20.92,35.0,1,0,0.377,1
55.9,19,29.19,51.9,1,1,0.307,0
31.2,20,86.49,7.4,0,1,0.677,0
55.6,25,16.62,14.8,1,0,0.158,0
14.2,14,24.15,1.8,1,1,0.446,0
9.9,18,52.36,4.0,1,1,0.49,0
22.2,21,35.35,9.6,1,1,0.576,0
12.2,18,37.44,4.2,1,0,0.097,0
25.3,19,16.85,37.7,2,0,0.569,1
5.9,13,31.5,3.1,0,0,0.382,1
3.6,29,73.12,10.9,0,0,0.167,1
27.7,19,10.73,16.8,0,1,0.258,0
56.8,15,20.33,21.2,0,0,0.411,0
28.4,7,9.29,8.7,0,0,0.439,1
31.0,15,48.23,36.6,1,1,0.387,0
22.8,18,78.09,15.1,1,1,0.505,0
24.3,19,29.13,10.4,2,0,0.451,0
6.8,12,16.38,1.3,0,0,0.659,1
12.5,13,16.72,11.2,0,1,0.372,0
45.4,8,26.9,30.9,0,0,0.624,0
17.3,13,26.83,17.2,1,1,0.216,0
44.9,21,62.7,32.1,0,1,0.25,0
23.8,10,20.73,12.3,0,0,0.268,0
24.6,8,44.91,2.3,2,1,0.62,0
17.4,14,26.74,0.2,1,1,0.183,0
33.9,16,19.66,6.5,0,0,0.342,0
39.0,24,26.28,21.6,1,1,0.036,0
12.0,15,41.91,28.1,1,1,0.354,1
7.4,12,62.83,6.3,1,1,0.288,0
4.3,14,27.76,12.3,1,1,0.071,0
30.0,17,14.26,9.8,1,0,0.488,0
27.9,18,66.67,9.5,1,0,0.513,0
83.0,22,17.66,4.7,0,0,0.394,0
22.9,15,39.75,2.6,0,0,0.141,0
20.2,9,32.54,3.9,3,0,0.486,1
25.8,10,29.64,1.0,2,1,0.435,0
26.8,17,23.55,4.0,1,1,0.33,0
19.2,8,51.12,0.2,3,1,0.577,0
12.3,24,2.7,17.8,0,1,0.272,0
22.1,20,73.37,6.8,2,1,0.311,0
21.5,20,17.48,65.1,0,0,0.446,1
21.3,7,44.06,3.9,0,1,0.461,0
36.1,15,42.46,7.6,1,0,0.376,0
21.8,9,80.84,8.0,1,1,0.574,0
7.5,20,38.03,0.2,1,1,0.092,0
13.9,18,18.53,32.9,0,0,0.778,1
19.0,10,10.77,0.6,1,1,0.76,0
22.5,18,25.94,50.7,0,0,0.508,1
30.4,21,8.41,40.1,0,0,0.46,1
22.6,21,21.33,13.8,0,1,0.352,0
3.7,9,26.98,14.1,2,0,0.196,1
8.3,16,20.43,19.1,2,0,0.575,1
31.8,18,34.1,8.8,2,1,0.229,0
18.7,10,28.07,18.8,0,1,0.203,0
23.9,24,26.33,0.8,0,1,0.748,0
17.1,16,6.07,1.0,0,1,0.157,0
13.8,16,13.38,11.0,2,0,0.226,0
17.5,11,51.93,14.4,3,0,0.427,1
24.1,26,58.15,39.4,1,1,0.302,0
21.7,9,9.14,2.0,0,1,0.55,0
38.9,23,18.72,31.1,0,0,0.297,1
6.3,8,70.13,4.2,2,1,0.246,0
7.1,12,20.03,9.0,2,1,0.108,0
18.5,16,30.63,6.9,0,1,0.513,0
30.7,14,90.85,9.2,2,1,0.673,0
34.9,17,25.71,2.9,2,0,0.491,0
14.2,11,23.26,12.6,0,1,0.61,0
1.5,11,29.67,29.1,0,1,0.074,1
14.6,19,121.19,10.5,1,0,0.421,0
28.0,23,45.26,12.1,2,1,0.301,0
21.4,19,33.56,34.0,3,0,0.63,1
31.4,13,22.94,22.0,3,0,0.896,0
44.5,10,48.29,12.1,1,1,0.149,0
19.4,14,52.55,5.4,0,0,0.424,0
15.8,21,15.62,38.9,2,0,0.652,1
11.1,6,53.55,15.5,2,1,0.065,0
7.1,14,29.79,4.5,1,0,0.198,0
5.5,16,33.7,5.6,1,0,0.639,1
13.2,16,17.83,29.3,3,0,0.707,1
40.9,6,25.03,0.8,0,0,0.123,0
33.3,22,16.1,87.1,1,1,0.497,1
15.2,13,15.57,2.5,0,1,0.305,0
71.5,11,43.12,28.6,1,1,0.24,0
13.9,18,25.83,9.0,0,1,0.538,0
47.0,17,13.33,12.2,1,0,0.162,0
53.7,6,152.01,38.3,2,1,0.172,0
29.2,14,15.07,9.6,2,1,0.368,0
13.1,15,71.13,13.9,0,1,0.429,0
16.7,19,11.78,0.9,2,1,0.666,0
24.5,12,45.58,0.0,3,1,0.251,0
7.3,19,27.79,5.1,0,1,0.222,0
10.3,25,21.32,20.5,1,0,0.293,1
9.6,23,38.01,2.3,4,1,0.283,0
30.6,16,34.59,2.2,1,0,0.526,0
44.2,7,18.75,9.5,3,0,0.403,0
34.1,19,18.17,18.8,2,0,0.159,0
39.9,8,11.0,22.4,2,0,0.44,1
12.3,20,41.01,3.5,2,0,0.177,0
17.3,15,13.77,1.5,1,0,0.517,0
18.2,20,33.21,50.8,0,1,0.074,1
29.1,17,50.14,5.4,1,1,0.637,0
13.5,13,38.31,34.6,4,1,0.185,0
38.4,18,19.96,35.8,1,0,0.502,1
52.9,20,62.56,26.7,2,1,0.518,0
30.0,21,24.89,3.3,1,1,0.202,0
16.7,17,13.01,31.0,2,0,0.488,1
11.5,14,27.15,26.4,2,1,0.512,1
9.6,20,49.94,16.3,0,1,0.262,0
3.7,13,20.65,7.4,1,0,0.61,0
18.6,15,61.24,5.5,0,1,0.34,0
17.8,14,19.31,2.3,4,1,0.134,0
37.0,15,21.24,12.8,0,0,0.241,0
14.2,8,15.92,15.8,1,0,0.303,1
19.3,12,53.44,8.0,1,0,0.197,1
26.1,13,31.9,11.6,0,0,0.14,0
29.7,21,16.68,8.1,1,0,0.267,0
34.4,16,25.09,18.4,0,0,0.471,0
24.4,12,3.86,41.7,1,0,0.472,1
7.6,11,57.09,3.2,0,1,0.228,0
28.1,6,29.38,8.6,1,0,0.17,0
13.4,13,6.14,2.7,1,0,0.269,0
45.5,12,11.95,17.7,1,0,0.385,1
22.0,20,24.65,23.5,1,0,0.155,1
25.4,7,13.2,48.4,3,0,0.313,1
87.0,7,57.71,5.9,0,0,0.358,0
34.8,16,44.39,54.0,1,0,0.399,1
27.8,11,42.59,1.2,3,1,0.359,0
19.7,18,5.35,16.6,3,1,0.694,0
8.2,14,22.92,1.1,0,0,0.589,0
18.7,14,20.32,40.4,1,0,0.834,1
11.4,10,16.98,13.6,2,1,0.175,0
56.7,36,24.76,19.9,1,1,0.152,0
28.0,15,15.05,32.1,0,0,0.38,0
44.5,12,38.5,2.9,0,1,0.192,0
13.9,8,56.63,0.7,1,1,0.428,0
12.0,18,53.32,38.0,0,0,0.278,1
32.7,13,30.07,6.8,1,1,0.116,0
11.1,27,134.22,2.5,1,1,0.485,0
15.8,11,73.55,11.4,0,1,0.707,0
58.3,25,30.84,16.4,0,0,0.323,0
16.3,11,23.63,0.6,1,0,0.357,0
6.8,19,84.49,5.8,3,0,0.423,1
4.7,23,67.04,0.6,0,0,0.434,0
6.1,13,12.34,9.8,4,1,0.641,1
46.1,21,70.82,40.6,0,1,0.391,0
14.5,14,29.72,73.0,0,1,0.802,1
85.3,22,18.13,18.2,0,1,0.523,0
53.2,14,8.29,3.2,1,0,0.159,0
66.6,13,27.43,42.5,2,1,0.286,0
40.5,10,32.83,13.1,2,1,0.234,0
31.6,14,100.6,3.0,0,0,0.837,0
11.7,12,64.72,45.9,1,1,0.308,1
21.6,13,22.02,25.5,0,0,0.612,1
33.6,15,43.49,23.7,1,1,0.19,0
39.0,12,59.05,22.2,1,0,0.384,0
8.8,19,35.17,4.0,2,0,0.288,0
18.9,14,21.95,4.3,0,1,0.514,0
20.5,15,22.82,21.0,0,1,0.492,0
19.9,17,43.37,4.5,1,0,0.432,0
9.8,7,44.22,10.4,2,0,0.612,0
62.0,11,26.98,27.4,2,0,0.486,0
18.5,12,5.29,27.6,1,1,0.324,0
10.4,20,13.42,10.9,2,1,0.47,0
62.9,25,51.1,28.3,1,1,0.204,0
53.2,13,7.45,32.8,0,0,0.443,0
23.8,17,75.86,19.1,2,1,0.443,0
15.5,14,68.4,4.7,1,0,0.326,1
5.6,21,34.08,5.8,3,1,0.078,0
30.1,17,50.33,6.8,1,0,0.608,0
14.7,14,47.95,2.2,1,0,0.657,1
21.3,19,30.51,5.7,2,1,0.748,0
59.6,8,12.66,4.2,0,0,0.271,0
14.0,10,65.18,10.9,0,1,0.431,0
29.3,18,88.68,43.0,2,1,0.586,1
35.0,16,14.21,2.0,2,0,0.622,0
45.2,20,12.33,22.9,3,0,0.672,1
20.2,25,30.09,20.9,0,1,0.127,0
18.8,12,21.36,1.8,1,1,0.356,0
18.5,14,36.65,46.1,0,0,0.266,1
27.5,20,77.14,15.1,1,0,0.548,0
51.9,29,6.88,8.1,1,1,0.146,0
17.9,33,100.17,25.4,4,1,0.267,0
2.0,17,24.91,5.4,2,0,0.595,1
37.5,11,47.38,21.3,0,0,0.278,0
22.7,10,51.07,0.7,0,1,0.381,0
30.2,17,55.41,32.9,0,1,0.129,0
5.8,15,34.58,10.7,0,1,0.326,0
14.8,25,40.73,18.2,0,1,0.416,0
35.6,15,40.54,4.5,0,1,0.479,0
8.0,13,21.3,20.3,0,0,0.182,0
29.3,12,9.67,26.6,1,1,0.375,0
21.1,17,14.11,11.5,1,0,0.428,0
12.6,22,30.79,17.3,4,1,0.338,0
11.8,12,19.09,11.0,4,0,0.266,1
9.9,25,19.12,40.4,1,0,0.178,0
22.6,20,116.68,12.4,1,1,0.425,0
24.4,10,60.41,33.2,1,1,0.435,1
16.7,21,27.76,29.1,0,0,0.549,1
9.4,14,53.01,9.5,2,1,0.231,0
28.7,10,24.68,4.7,0,0,0.521,0
37.9,11,35.78,9.4,0,0,0.126,0
32.1,12,45.11,31.5,3,1,0.188,0
68.3,14,24.72,4.6,2,0,0.536,0
19.1,11,20.5,13.4,1,1,0.31,0
48.9,15,78.0,29.5,2,0,0.483,0
13.5,18,50.9,7.9,0,1,0.699,0
11.9,20,6.83,18.5,0,1,0.588,0
23.5,14,20.74,5.1,1,0,0.234,0
55.5,13,19.17,2.1,0,0,0.358,0
17.6,15,21.44,28.5,3,1,0.805,1
5.8,10,60.56,1.9,4,1,0.206,0
37.4,22,33.56,5.7,1,0,0.584,0
20.5,21,12.52,34.8,0,0,0.359,1
26.4,18,25.32,7.7,1,0,0.772,1
12.4,12,48.39,65.0,3,0,0.349,1
23.4,18,28.4,70.2,1,0,0.318,1
6.6,8,21.09,5.6,2,0,0.51,0
62.6,14,41.76,0.8,1,1,0.601,0
41.8,25,102.79,22.0,0,1,0.354,0
22.7,13,45.74,10.8,0,1,0.29,0
36.8,20,82.32,1.9,2,1,0.639,0
13.5,42,22.1,22.1,1,1,0.322,0
40.6,14,32.92,0.6,1,1,0.476,0
17.1,17,32.46,36.8,0,1,0.196,1
16.3,18,35.98,2.7,3,1,0.245,0
10.4,20,45.08,2.5,1,1,0.478,0
28.5,26,17.4,3.5,0,0,0.224,0
22.0,15,52.1,58.1,1,1,0.148,1
49.8,16,10.6,21.3,0,1,0.403,0
9.5,11,13.0,29.1,0,1,0.806,1
28.6,25,147.66,9.1,0,1,0.246,0
44.3,25,23.17,7.4,2,1,0.497,0
24.7,17,55.18,4.8,0,1,0.518,1
16.9,13,108.72,11.8,0,0,0.265,1
24.2,6,6.55,14.4,1,1,0.206,0
47.4,14,72.85,18.0,1,0,0.22,0
47.4,17,52.16,5.3,0,1,0.312,0
20.0,15,104.41,53.4,2,1,0.51,1
46.9,11,14.48,3.3,3,0,0.181,0
21.3,16,91.46,60.7,2,0,0.643,1
36.5,25,19.74,0.3,1,1,0.364,0
30.8,21,69.29,11.8,0,0,0.326,0
16.4,7,32.29,7.3,0,0,0.354,0
10.7,11,56.8,10.7,0,1,0.345,0
45.0,25,34.27,15.2,2,0,0.492,0
52.7,24,9.14,10.3,0,0,0.352,0
28.2,8,3.73,9.6,2,1,0.639,0
21.3,10,38.36,23.8,3,0,0.47,1
8.5,13,27.53,20.8,2,0,0.061,0
44.3,7,43.76,32.2,0,1,0.304,0
26.1,8,27.76,5.2,0,1,0.515,0
18.1,25,136.0,16.9,0,1,0.4,0
37.2,13,38.91,15.8,2,1,0.546,0
7.3,19,24.22,8.3,0,1,0.462,1
10.0,18,41.94,12.0,3,0,0.451,1
13.1,19,24.53,6.8,1,0,0.23,0
30.1,14,35.34,2.8,1,0,0.535,0
24.4,7,14.12,4.3,1,0,0.335,0
32.4,11,32.92,2.0,1,1,0.223,0
42.4,15,23.7,20.7,1,1,0.088,0
33.2,16,15.09,19.5,1,0,0.437,0
63.4,17,132.03,54.1,0,1,0.454,0
42.4,13,15.51,23.5,0,0,0.329,0
19.9,31,33.28,1.0,2,0,0.584,0
14.7,10,18.88,38.8,2,1,0.353,1
20.4,16,40.77,35.7,1,0,0.095,0
33.9,13,13.57,10.5,2,0,0.669,0
15.9,23,59.64,15.9,1,0,0.641,1
34.5,13,137.73,67.2,0,0,0.403,1
32.0,28,18.4,13.7,1,1,0.06,0
10.6,12,77.62,42.4,0,1,0.506,1
41.9,13,25.35,1.6,1,0,0.339,0
27.5,18,95.02,3.8,3,0,0.268,0
61.5,15,153.23,10.5,0,1,0.582,0
21.4,12,28.12,15.8,1,1,0.128,0
17.5,20,11.43,30.5,1,0,0.397,1
9.6,16,64.31,80.0,0,0,0.367,1
9.4,24,38.75,8.9,0,1,0.114,0
38.9,13,47.05,0.9,1,1,0.448,0
57.9,8,26.1,29.1,0,0,0.331,0
20.2,15,17.83,16.7,2,1,0.507,0
19.3,12,74.61,4.0,0,0,0.114,0
22.7,10,41.42,12.3,3,0,0.436,0
43.7,8,12.06,24.4,1,0,0.529,0
10.7,24,53.56,26.5,0,1,0.545,0
25.4,22,46.54,12.5,3,0,0.113,1
39.4,15,26.37,6.6,0,0,0.235,0
29.9,8,102.91,65.5,3,0,0.28,1
1.3,16,21.48,19.6,0,1,0.497,1
33.3,20,29.42,9.4,1,0,0.402,0
30.1,4,56.72,5.9,3,0,0.281,0
48.8,11,34.94,23.6,1,0,0.717,0
55.1,11,12.56,5.0,1,1,0.15,0
47.4,13,37.66,3.4,1,0,0.275,0
22.8,12,24.78,13.6,1,0,0.463,1
5.6,8,60.33,6.2,0,0,0.461,0
19.2,19,36.81,17.8,1,1,0.505,0
22.3,21,35.38,2.3,2,1,0.37,0
57.4,12,15.9,19.2,1,1,0.428,0
12.5,18,28.19,6.0,0,1,0.112,0
